epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,840.269,1.05982,0.67022,1.16124,0.93385,0.81073,0.90947,0.63057,1.13681,0.72261,1.19183,0.0011684,0.0011684,0.0011684
44,860.615,1.03643,0.70061,1.14448,0.87063,0.86398,0.91672,0.62258,1.13175,0.68505,1.20492,0.0011486,0.0011486,0.0011486
45,879.591,1.0331,0.66733,1.16171,0.93655,0.85473,0.93506,0.64477,1.12417,0.62753,1.18966,0.0011288,0.0011288,0.0011288
46,898.384,1.01849,0.66252,1.12918,0.89888,0.80068,0.89471,0.61897,1.16696,0.70219,1.19262,0.001109,0.001109,0.001109
47,918.73,1.03534,0.67779,1.14807,0.93203,0.78752,0.90276,0.61039,1.20173,0.71097,1.20565,0.0010892,0.0010892,0.0010892
48,937.542,1.01787,0.64791,1.13907,0.93007,0.83446,0.91538,0.63947,1.11486,0.66664,1.17817,0.0010694,0.0010694,0.0010694
49,956.543,1.01561,0.64911,1.12839,0.89122,0.85806,0.92536,0.64661,1.11031,0.68921,1.16014,0.0010496,0.0010496,0.0010496
50,977.11,1.02989,0.66145,1.13882,0.92559,0.84052,0.90849,0.64121,1.11079,0.6694,1.16774,0.0010298,0.0010298,0.0010298
51,995.884,1.01778,0.65192,1.13164,0.92295,0.83446,0.9121,0.65913,1.06113,0.63774,1.13757,0.00101,0.00101,0.00101
52,1015.12,1.04734,0.66853,1.16165,0.95192,0.80068,0.91149,0.63112,1.10567,0.6663,1.18665,0.0009902,0.0009902,0.0009902
53,1034.99,1.01975,0.64055,1.15556,0.90492,0.86817,0.93214,0.66964,1.10234,0.62499,1.1754,0.0009704,0.0009704,0.0009704
54,1053.6,1.00463,0.618,1.13269,0.94848,0.85811,0.93456,0.67629,1.07351,0.61488,1.15246,0.0009506,0.0009506,0.0009506
55,1073.15,0.98843,0.62088,1.13533,0.94696,0.84122,0.92815,0.67049,1.06269,0.57988,1.13693,0.0009308,0.0009308,0.0009308
56,1092.99,0.99453,0.65147,1.1358,0.9583,0.82432,0.92501,0.66697,1.09214,0.68697,1.1548,0.000911,0.000911,0.000911
57,1112.08,1.01333,0.63197,1.13389,0.91568,0.83784,0.92058,0.66316,1.05434,0.66107,1.13012,0.0008912,0.0008912,0.0008912
58,1132.67,0.98515,0.63089,1.12991,0.86369,0.84122,0.90418,0.62769,1.14028,0.73655,1.20578,0.0008714,0.0008714,0.0008714
59,1151.65,0.98875,0.62395,1.11613,0.87854,0.85135,0.91052,0.63504,1.12627,0.65743,1.18716,0.0008516,0.0008516,0.0008516
60,1170.88,0.9952,0.6158,1.13127,0.9372,0.85473,0.93259,0.65443,1.11448,0.64191,1.1956,0.0008318,0.0008318,0.0008318
61,1191.66,0.96526,0.61681,1.11018,0.95502,0.86071,0.93951,0.67221,1.04164,0.57907,1.13196,0.000812,0.000812,0.000812
62,1210.72,0.96299,0.62046,1.11274,0.90117,0.86253,0.92899,0.65302,1.11876,0.63304,1.16533,0.0007922,0.0007922,0.0007922
63,1230.36,0.95378,0.60312,1.11252,0.9163,0.86824,0.91688,0.64415,1.12751,0.64352,1.18303,0.0007724,0.0007724,0.0007724
64,1250.13,0.9327,0.5901,1.09145,0.9266,0.83784,0.92698,0.66627,1.07621,0.59696,1.14644,0.0007526,0.0007526,0.0007526
